P(fav);Y
0.574318786;1
0.804373052;0
0.606490433;1
0.645341935;1
0.705257415;0
0.754137386;0
0.57231326;0
0.533306003;0
0.518850271;0
0.803587632;0
0.756039303;0
0.708256568;1
0.654509996;0
0.637112527;0
0.730917423;0
0.702479172;0
0.613509189;0
0.762838165;1
0.859453127;0
0.514929455;0
0.7370003;1
0.654002482;1
0.665889613;0
0.607884119;0
0.530683682;0
0.776556412;0
0.781081253;0
0.728007577;0
0.52119691;0
0.651724918;0
0.549482187;0
0.576231007;0
0.621649499;1
0.842669465;0
0.503466555;0
0.607899952;0
0.542548;1
0.726251343;1
0.576680864;1
0.640186703;1
0.656655546;0
0.758839517;0
0.639088651;0
0.654283082;0
0.715799647;1
0.525612588;0
0.591268344;1
0.588246841;0
0.640359787;0
0.549455247;0
0.714735478;0
0.607897084;0
0.735296876;1
0.602056417;0
0.557304985;1
0.617855924;1
0.759747187;1
0.888331552;0
0.788150488;0
0.621067485;0
0.726207931;0
0.61586214;0
0.567973177;1
0.827675494;0
0.758228321;0
0.572990185;1
0.601882608;0
0.685545664;0
0.658910918;0
0.574889701;0
0.727503343;1
0.684659296;0
0.626749404;1
0.65925972;0
0.799057456;0
0.553791262;0
0.64210997;0
0.814390799;1
0.584893343;0
0.712273189;0
0.690929473;0
0.67770388;0
0.649221307;0
0.538024424;0
0.77361884;0
0.745233727;0
0.52580009;0
0.67806409;0
0.669313721;0
0.707868784;0
0.60204999;0
0.882324722;0
0.694701079;0
0.739140965;0
0.691079546;1
0.547986371;0
0.660933231;0
0.523784803;0
0.52157539;1
0.656105381;1
0.748540327;0
0.533673707;0
0.659328959;0
0.689324548;0
0.849343287;0
0.707835104;0
0.616094947;0
0.536226441;0
0.674717398;0
0.534598727;0
0.711605645;0
0.658863089;0
0.736894184;1
0.62864571;1
0.722768264;0
0.546705932;1
0.668410623;1
0.581637288;0
0.617290015;0
0.57523334;1
0.636966575;0
0.5735604;0
0.588569391;0
0.803586573;0
0.852105414;0
0.585536482;0
0.668630842;0
0.606636452;0
0.673207463;0
0.581140285;1
0.61538015;0
0.721508471;0
0.696263142;0
0.706281431;0
0.679394852;0
0.546282701;1
0.694430584;0
0.515530887;0
0.686679174;0
0.724775463;0
0.834298541;1
0.508903623;1
0.704246036;0
0.677134461;0
0.678370858;0
0.679524232;1
0.754402988;1
0.740205152;0
0.590538313;0
0.634216919;0
0.536754187;1
0.578712143;1
0.705066874;0
0.619330919;0
0.807600573;0
0.655218925;0
0.626915495;0
0.565678113;0
0.579611859;0
0.743079999;1
0.661910374;0
0.588340095;1
0.804390384;0
0.699615128;0
0.563969194;1
0.656928698;0
0.626096483;0
0.653772121;0
0.609154512;0
0.654621512;0
0.729346505;0
0.634969014;0
0.538876246;0
0.671710892;1
0.623247534;0
0.744582547;0
0.640513628;0
0.526003153;0
0.686758357;1
0.579228249;0
0.683515403;0
0.764526297;0
0.513500088;0
0.606238016;1
0.513985699;0
0.511960175;0
0.763630581;0
0.671594304;0
0.721634855;0
0.739810004;1
0.626450314;0
0.62584919;1
0.711573851;0
0.529984493;0
0.632199141;1
0.64839212;0
0.660466201;0
0.72451432;0
0.702255461;1
0.690482326;1
0.609472515;0
0.684788617;0
0.558957015;1
0.683410216;0
0.757178896;1
0.821486413;0
0.582427696;0
0.706764802;0
0.578528899;1
0.586427672;0
0.637778951;0
0.505498667;0
0.776269082;0
0.709325247;0
0.649888;0
0.529096099;0
0.53955787;0
0.661717406;1
0.589967988;0
0.694370913;0
0.538587037;1
0.504151299;0
0.514768837;0
0.670811788;0
0.556650018;0
0.613080568;0
0.778577957;0
0.671315481;0
0.520620394;0
0.65538921;0
0.670862792;0
0.754965241;0
0.710163289;1
0.618298282;0
0.801950332;0
0.700635533;0
0.742315016;0
0.608668123;0
0.563578224;0
0.6189911;1
0.662310761;0
0.602477401;0
0.596833627;1
0.596047577;0
0.536231491;0
0.756938818;0
0.569724544;1
0.762074352;0
0.60015833;0
0.542389533;0
0.794748522;1
0.652930047;0
0.609582297;0
0.700588465;0
0.536602493;0
0.69757822;0
0.580151077;0
0.587010856;1
0.604189868;1
0.599493083;0
0.568535354;0
0.809471216;0
0.755218396;1
0.659057078;0
0.611749498;0
0.588863781;0
0.620080025;0
0.583625563;0
0.715894955;0
0.602843589;0
0.733790934;0
0.753482027;0
0.590021035;1
0.548034111;0
0.817458331;0
0.651485327;0
0.733408481;1
0.628308136;0
0.635672671;0
0.6487487;0
0.650970061;0
0.599139455;0
0.799887423;1
0.848675857;0
0.673644927;0
0.729249616;0
0.552010256;0
0.59352168;1
0.52838795;1
0.588428268;0
0.524934719;0
0.751780468;0
0.678055073;0
0.714014719;0
0.654623387;1
0.581280346;0
0.593442626;0
0.786797424;0
0.742502112;1
0.56439782;0
0.643130848;1
0.545869411;0
0.625724863;0
0.585182535;1
0.783344174;0
0.724037806;0
0.576525547;0
0.740287502;0
0.544446161;0
0.598245142;1
0.546604807;0
0.7800037;1
0.708239538;1
0.625388764;1
0.539399268;1
0.589281939;0
0.539670703;0
0.530110683;0
0.782594014;0
0.591679947;0
0.521867518;0
0.591180195;0
0.756306354;0
0.747074062;0
0.584425269;1
0.736174187;0
0.764222293;0
0.608770682;0
0.635806131;0
0.597409264;0
0.52162938;0
0.732549476;0
0.735492874;0
0.789848612;0
0.692518114;0
0.608779005;0
0.549036592;0
0.728535555;0
0.550292233;0
0.832577714;0
0.692175033;0
0.681845632;1
0.564376021;1
0.631367009;0
0.606283642;1
0.632822025;1
0.582894858;0
0.748264311;0
0.714518219;0
0.633998488;0
0.630182189;0
0.598154251;0
0.530317354;0
0.520380001;1
0.501873624;1
0.795581594;1
0.622289493;0
0.683851148;0
0.583964602;1
0.546007621;0
0.750877531;0
0.572353068;1
0.526496709;1
0.818713944;0
0.671990019;1
0.697489285;0
0.681119552;1
0.614555898;0
0.500640558;0
0.652123369;0
0.592923261;0
0.56292106;1
0.688544144;0
0.609228532;1
0.603160683;0
0.60962058;1
0.695660471;0
0.617119564;0
0.658298277;1
0.707052246;0
0.552537115;0
0.624216303;0
0.654268003;1
0.659255219;0
0.754461609;0
0.799116802;0
0.717712537;0
0.572057927;0
0.553485273;0
0.731640486;0
0.660196532;0
0.732477467;1
0.76809736;1
0.56108101;1
0.597516168;1
0.529544336;0
0.620649946;0
0.659809022;0
0.621240468;0
0.504740686;0
0.611260234;0
0.719758442;0
0.648029676;0
0.560628349;0
0.546930619;1
0.791429222;0
0.740472649;0
0.80593732;1
0.583076386;0
0.717657121;0
0.685365238;0
0.649393787;0
0.591810001;1
0.512292274;1
0.726380383;0
0.699392462;0
0.740967272;0
0.601750699;0
0.538760841;0
0.50579103;0
0.71284794;0
0.652434515;0
0.525476623;0
0.669644696;0
0.669954374;1
0.771505337;0
0.682307242;0
0.667088123;0
0.625385346;0
0.578866425;0
0.590752884;0
0.786596009;0
0.664441485;0
0.621939023;0
0.598120725;0
0.711380575;1
0.512868469;0
0.515262322;1
0.633658395;0
0.778476247;0
0.725126171;0
0.617246299;0
0.601840929;1
0.573360259;1
0.570417108;0
0.561238411;0
0.609850758;0
0.713665701;0
0.509835004;0
0.749178858;0
0.76489;0
0.63614779;1
0.639221151;1
0.70814987;0
0.686578567;1
0.773884624;0
0.670499383;1
0.824203376;0
0.547070122;0
0.60782595;0
0.540521935;1
0.573296609;0
0.553103111;0
0.504144065;0
0.586212728;0
0.701642576;0
0.671288368;0
0.534022938;0
0.656474221;0
0.772042905;0
0.769687363;1
0.518863809;1
0.718740427;0
0.653966872;0
0.637671947;0
0.583972257;1
0.745971502;1
0.520613331;0
0.589147927;1
0.671094797;0
0.668901387;0
0.520947451;1
0.509782446;0
0.632216701;0
0.756691996;0
0.536259274;0
0.72555923;0
0.531816151;0
0.621161832;1
0.717019036;0
0.572323202;0
0.603224025;0
0.735487673;0
0.689299235;0
0.663589619;0
0.662724668;0
0.666679175;1
0.543858296;0
0.849714696;0
0.735090718;0
0.555345526;0
0.585058719;0
0.515137653;0
0.612080385;0
0.561825081;0
0.797705307;0
0.662586554;0
0.73679899;1
0.663376936;0
0.6733163;1
0.569148056;0
0.771480892;0
0.558184513;0
0.579894361;1
0.708746157;1
0.565234695;1
0.556706918;0
0.546999822;0
0.685388383;0
0.739806968;0
0.78106576;0
0.646095573;0
0.72657011;1
0.668717057;0
0.580130317;0
0.534865696;0
0.646762569;0
0.74468013;0
0.561245876;1
0.631769599;0
0.543905055;0
0.60704909;0
0.691748666;1
0.764105427;0
0.778759157;0
0.719946752;0
0.562977317;0
0.653721449;1
0.525974057;0
0.676651103;0
0.815687604;0
0.624916656;0
0.515265977;0
0.654371553;0
0.609805971;1
0.672539096;0
0.574906873;0
0.715350505;1
0.71665412;0
0.524163962;0
0.608031721;0
0.695800942;0
0.526164585;0
0.63082402;1
0.599081649;0
0.821312001;0
0.6316732;0
0.784454314;1
0.670242522;0
0.556404727;0
0.736967496;0
0.680662968;0
0.633636301;1
0.518255727;1
0.642298986;1
0.654235304;0
0.632825225;1
0.718212633;0
0.717284435;1
0.562497748;1
0.700540863;0
0.711398141;0
0.647903386;0
0.538742174;0
0.657675792;0
0.505329105;1
0.558110504;0
0.629416474;0
0.527009428;1
0.716697528;0
0.554707161;1
0.67262834;0
0.633520664;0
0.769423983;0
0.501112535;0
0.689095357;0
0.522772175;0
0.745152482;0
0.648767655;0
0.685891075;0
0.503734866;0
0.588058068;1
0.709995564;1
0.737733041;1
0.587961435;0
0.676023609;0
0.723043815;0
0.757458212;1
0.503817598;0
0.680891785;0
0.516970867;0
0.744425795;0
0.571603431;0
0.709155033;1
0.623711471;0
0.698618485;1
0.545758424;1
0.526292332;0
0.612861604;0
0.679054585;1
0.764643832;0
0.72259181;0
0.734492391;0
0.654772655;0
0.728276038;0
0.533802796;1
0.553855854;0
0.74719462;0
0.616388722;0
0.728010545;0
0.544903134;1
0.53486578;0
0.556427173;0
0.528169677;0
0.625115219;1
0.622459331;0
0.623346155;0
0.622461415;0
0.623348232;0
0.622463499;0
0.623350309;0
0.624234213;0
0.624821971;0
0.697719579;0
0.753053055;1
0.585056993;0
0.629767859;0
0.632162085;0
0.728218281;0
0.63683068;0
0.628002714;0
0.63191116;0
0.578193379;0
0.621813026;0
0.634229557;1
0.552997677;0
0.586742544;0
0.606726998;1
0.679544244;0
0.511070171;0
0.733768876;0
0.592116812;0
0.769088893;0
0.656279917;0
0.610883928;0
0.686109937;0
0.626416837;0
0.580854698;0
0.71380143;0
0.63604225;1
0.7201658;0
0.67739082;0
0.587978489;1
0.637176928;1
0.66013396;1
0.625333906;0
0.632826449;0
0.508002647;0
0.593529012;0
0.70047281;1
0.741031168;1
0.665929694;0
0.642989297;0
0.587276565;1
0.666498817;0
0.521664058;0
0.605667306;1
0.66215823;0
0.565692952;0
0.774510202;1
0.756354269;1
0.600294316;0
0.604536308;0
0.657434115;1
0.604086949;1
0.504627968;0
0.683024791;0
0.567986417;1
0.709524534;0
0.730930269;0
0.670578756;0
0.647370027;0
0.60471143;0
0.651567769;1
0.595052446;0
0.679882166;1
0.525098902;0
0.515454938;1
0.660046788;0
0.71212949;1
0.671706564;0
0.512800708;1
0.677899238;0
0.512841681;1
0.563924228;0
0.633739387;0
0.578042157;1
0.694631852;0
0.77590546;1
0.698472307;0
0.552818458;1
0.501229293;0
0.50228354;1
0.646176347;0
0.53328411;0
0.657143523;0
0.625748205;0
0.553412549;0
0.686492921;0
0.734479879;0
0.696292981;1
0.55996167;1
0.656701448;1
0.542830229;0
0.51465407;0
0.625890133;0
0.540532025;0
0.572137751;0
0.817976999;0
0.634154016;0
0.635827006;0
0.611472365;0
0.638543596;1
0.596464647;0
0.637855373;0
0.60853515;0
0.613231356;0
0.590713275;0
0.776773269;0
0.735548617;0
0.66479654;0
0.665224322;0
0.50649652;0
0.594866163;1
0.507807444;1
0.593207074;0
0.528708078;0
0.505205612;0
0.609605744;0
0.715450966;0
0.79932768;0
0.707318557;0
0.577434759;1
0.61334863;1
0.65910032;0
0.529909606;0
0.626670184;1
0.703213532;0
0.703418527;1
0.523279472;0
0.622275869;1
0.589483211;0
0.529987077;0
0.556576504;0
0.571068669;0
0.586953112;0
0.517423843;0
0.787275488;0
0.575728573;0
0.634821647;0
0.689266522;0
0.623472624;0
0.585072855;0
0.520847768;1
0.5945694;1
0.628254457;0
0.622970037;1
0.804599654;0
0.721690964;0
0.689446504;1
0.629300884;0
0.744804359;1
0.607729295;1
0.604903189;1
0.676790519;0
0.6101418;0
0.663977993;1
0.541098687;0
0.676355329;0
0.52242319;1
0.526521291;0
0.715665476;0
0.67131946;0
0.569167891;0
0.56906651;0
0.621734421;0
0.631519318;1
0.7905302;1
0.828742252;0
0.712743098;1
0.785781804;1
0.658058318;0
0.515242353;1
0.537644515;1
0.55136562;0
0.588667396;0
0.624652593;1
0.81729961;0
0.703109644;1
0.625690247;1
0.658092102;0
0.795205903;1
0.780232125;0
0.65052746;0
0.586993037;0
0.632375497;0
0.734722397;0
0.655793634;0
0.596991646;0
0.603703042;0
0.564345042;0
0.60308809;0
0.619485249;0
0.543253466;0
0.513323541;1
0.716238969;0
0.69336231;0
0.730824378;0
0.769586809;1
0.712101704;0
0.740434761;0
0.625376118;1
0.615327617;0
0.591200936;1
0.757664531;0
0.784766774;0
0.603480947;0
0.622321711;0
0.573915754;1
0.672822007;0
0.621536331;0
0.667348267;1
0.678569659;0
0.704211364;1
0.702854023;0
0.515650057;0
0.519686332;0
0.597048574;0
0.541529736;1
0.55715771;0
0.630693723;0
0.671594463;0
0.700319447;0
0.746960428;0
0.693871264;0
0.565653357;0
0.539010308;0
0.546341515;0
0.655340344;0
0.559267279;0
0.597019147;1
0.802906913;0
0.606131681;1
0.603760169;0
0.59432979;0
0.703527453;1
0.633471512;1
0.515895779;0
0.784318093;0
0.685024409;1
0.688080618;0
0.509443187;1
0.720968783;0
0.603003995;0
0.608130047;0
0.641353868;0
0.688856834;1
0.76208409;0
0.810482157;0
0.724542814;0
0.634537977;1
0.618605077;0
0.674115705;0
0.509514114;1
0.538634242;0
0.65870888;0
0.832392084;0
0.763535751;0
0.768382199;0
0.646113097;0
0.649463503;0
0.601325836;0
0.637906286;1
0.745539331;0
0.787515786;0
0.592318117;0
0.680028649;1
0.658235945;0
0.667757976;0
0.563184703;0
0.546009129;0
0.564502012;0
0.707620441;1
0.640071946;0
0.544109363;1
0.543547058;0
0.685127626;1
0.698589908;0
0.675863239;0
0.741684057;0
0.78926188;0
0.751857913;0
0.741499957;0
0.672662167;0
0.720295804;1
0.605374606;0
0.642626519;0
0.627653833;0
0.640362825;0
0.614259323;0
0.640383167;0
0.585452756;0
0.606216247;0
0.627755368;0
0.558277656;0
0.603654636;0
0.647873672;0
0.640152721;1
0.704506052;1
0.627794473;0
0.572583483;1
0.668060619;0
0.590092245;0
0.569891564;0
0.55025;0
0.607898631;0
0.644585771;1
0.683522139;1
0.673595302;0
0.699562082;0
0.636174526;0
0.579564803;0
0.643022926;0
0.585501285;0
0.644171705;0
0.539083996;0
0.623085432;0
0.527160288;0
0.728104506;0
0.627232475;1
0.544144604;0
0.582260121;0
0.642084152;0
0.661106313;0
0.681733573;0
0.649722468;0
0.662713286;0
0.70197078;0
0.711119491;0
0.643505283;1
0.52386688;0
0.628119523;1
0.650855315;0
0.646313878;0
0.560556157;0
0.574768686;0
0.503075901;1
0.637457622;0
0.540940413;0
0.672629903;1
0.581271961;0
0.640835557;0
0.738880369;0
0.563683038;0
0.734014407;0
0.562552497;0
0.59713169;0
0.57175634;0
0.5366647;0
0.506421791;0
0.618431255;0
0.847246688;0
0.703299352;0
0.813235241;0
0.523945518;0
0.568404551;0
0.668513784;0
0.543380963;1
0.550989885;1
0.626716542;1
0.587242464;0
0.7413246;1
0.579455139;0
0.817500835;0
0.578071844;0
0.590891015;1
0.701398052;0
0.629873951;0
0.561533954;1
0.752540216;0
0.64481222;1
0.627250935;1
0.561840113;1
0.525394838;0
0.540879647;0
0.615735534;0
0.672108564;0
0.722824767;1
0.809028536;1
0.763833386;0
0.669436262;0
0.656366396;0
0.599011928;0
0.517964045;0
0.7148183;0
0.550688331;1
0.841174871;0
0.545617062;1
0.724863924;1
0.740884596;0
0.702216647;0
0.587424503;0
0.650882797;0
0.640567397;0
0.575200666;0
0.78228532;1
0.721416754;1
0.510699445;0
0.609525907;1
0.688637913;1
0.570410626;0
0.546923252;0
0.561061854;0
0.554502443;0
0.547631763;0
0.623256557;0
0.526766929;0
0.650226139;0
0.622339643;1
0.588978707;1
0.736438688;0
0.770292708;0
0.769113757;0
0.689653022;1
0.708892604;1
0.738730119;0
0.674059944;0
0.554523316;1
0.817080007;1
0.57354362;1
0.693214986;0
0.529389375;0
0.548610124;0
0.805660536;0
0.519675093;0
0.578103799;1
0.569470967;0
0.713157538;0
0.835404104;0
0.872499874;0
0.841379871;0
0.63858724;0
0.694451629;1
0.62774119;1
0.631397954;0
0.501050786;0
0.603686102;1
0.598629398;0
0.741515911;0
0.613525012;1
0.688542884;0
0.599625948;1
0.781219737;0
0.680195297;0
0.647063756;1
0.663279878;1
0.523826902;1
0.691624953;0
0.854536338;0
0.533999313;0
0.57043933;0
0.651145464;0
0.72535603;0
0.52382484;0
0.558053588;0
0.596676212;0
0.788267643;0
0.658562464;0
0.549440783;0
0.70776012;0
0.532403893;0
0.63261435;0
0.710792266;0
0.790347439;0
0.687455211;1
0.615762678;1
0.569977678;0
0.851847873;0
0.521905731;0
0.670483787;0
0.736506503;0
0.749684737;0
0.698791991;1
0.702220824;0
0.583108361;1
0.701206951;0
0.538388274;1
0.753276365;1
0.520937208;0
0.581165324;1
0.776415995;1
0.643031889;0
0.848103037;0
0.601463752;0
0.827725625;0
0.618840037;0
0.549555873;0
0.72407286;1
0.602838464;1
0.654669419;0
0.546931401;1
0.539724773;1
0.860430842;0
0.613226;0
0.690694406;0
0.759380704;0
0.629547418;0
0.510321952;1
0.653767666;1
0.522212176;0
0.650804662;1
0.798582369;0
0.836780069;0
0.612545416;1
0.56435332;0
0.683672903;0
0.627637291;0
0.674797039;1
0.891241347;0
0.653095844;0
0.654879993;1
0.589138146;1
0.587042424;0
0.697747365;0
0.541717006;1
0.56636379;0
0.723511248;0
0.758957622;0
0.652016257;0
0.694065567;0
0.520971742;0
0.581267053;0
0.610273842;1
0.599196471;1
0.658857611;0
