P(fav);avg;Y
0.748540327;2043.41;0
0.533673707;2127.09;0
0.659328959;2115.93;0
0.689324548;2075.5;0
0.849343287;2310.88;0
0.707835104;2222.62;0
0.616094947;2314.1;0
0.536226441;2158.65;0
0.674717398;2020.01;0
0.534598727;2022.29;0
0.711605645;2125.36;0
0.658863089;2186.79;0
0.736894184;2089.86;1
0.62864571;2095.37;1
0.722768264;2084.99;0
0.546705932;2219.64;1
0.668410623;2067.02;1
0.581637288;2290.95;0
0.617290015;2247.95;0
0.57523334;2317.77;1
0.636966575;1953.93;0
0.5735604;2014.1;0
0.588569391;2197.71;0
0.803586573;2214.44;0
0.852105414;2289.49;0
0.585536482;2130.06;0
0.668630842;2116.41;0
0.606636452;2067.91;0
0.673207463;2138.61;0
0.581140285;2137.98;1
0.61538015;2105.16;0
0.721508471;2164.49;0
0.696263142;2176.24;0
0.706281431;2207.86;0
0.679394852;2033.33;0
0.546282701;2211.17;1
0.694430584;2070.62;0
0.515530887;2216.36;0
0.686679174;2083.02;0
0.724775463;2297.61;0
0.834298541;2344.47;1
0.508903623;2111.91;1
0.704246036;2087.12;0
0.677134461;2157.09;0
0.678370858;2087.39;0
0.679524232;2073.39;1
0.754402988;2088.32;1
0.740205152;2137.17;0
0.590538313;2154.54;0
0.634216919;2081.04;0
0.536754187;2261.28;1
0.578712143;2280.11;1
0.705066874;2036.36;0
0.619330919;2100.95;0
0.807600573;2186.82;0
0.655218925;2200.45;0
0.626915495;2134.07;0
0.565678113;2112.96;0
0.579611859;2299.1;0
0.743079999;2110.83;1
0.661910374;2078.11;0
0.588340095;2060.03;1
0.804390384;2344.65;0
0.699615128;2147.05;0
0.563969194;2281.18;1
0.656928698;2030.62;0
0.626096483;2166.03;0
0.653772121;2100.43;0
0.609154512;2084.67;0
0.654621512;2015.47;0
0.729346505;1999.78;0
0.634969014;2087.16;0
0.538876246;1986.38;0
0.671710892;2107.83;1
0.623247534;2077.82;0
0.744582547;2030.34;0
0.640513628;2070.36;0
0.526003153;2053.24;0
0.686758357;2143.12;1
0.579228249;2109.59;0
0.683515403;2065.81;0
0.764526297;2098.84;0
0.513500088;2174.99;0
0.606238016;2041.73;1
0.513985699;2078.86;0
0.511960175;2154.78;0
0.763630581;2143.87;0
0.671594304;2119.98;0
0.721634855;2225.94;0
0.739810004;2356.8;1
0.626450314;2055.91;0
0.62584919;2093.95;1
0.711573851;2210.46;0
0.529984493;2015.62;0
0.632199141;2144.26;1
0.64839212;2025.02;0
0.660466201;2112.08;0
0.72451432;2194.31;0
0.702255461;2094.79;1
0.690482326;2124.54;1
0.609472515;2312.14;0
0.684788617;2058.29;0
0.558957015;2264.59;1
0.683410216;2001.9;0
0.757178896;2250.5;1
0.821486413;2254.22;0
0.582427696;2086.53;0
0.706764802;2064.2;0
0.578528899;2131.4;1
0.586427672;2047.31;0
0.637778951;2108.39;0
0.505498667;2168.79;0
0.776269082;2113.06;0
0.709325247;2083.17;0
0.649888;2147.84;0
0.529096099;2215;0
0.53955787;2224.45;0
0.661717406;2095;1
0.589967988;2065.9;0
0.694370913;2163.25;0
0.538587037;2173.49;1
0.504151299;2192.55;0
0.514768837;2037.13;0
0.670811788;2075.37;0
0.556650018;2111.1;0
0.613080568;2041.24;0
0.778577957;2203.78;0
0.671315481;2247.24;0
0.520620394;2276.35;0
0.65538921;2125.52;0
0.670862792;2060.52;0
0.754965241;1990.17;0
0.710163289;2027.06;1
0.618298282;2129.92;0
0.801950332;2206.27;0
0.700635533;2163;0
0.742315016;2063.56;0
0.608668123;2166.03;0
0.563578224;2228.42;0
0.6189911;2363.33;1
0.662310761;2164.06;0
0.602477401;2154.42;0
0.596833627;2122.83;1
0.596047577;2065.73;0
0.536231491;2113.33;0
0.756938818;2232.07;0
0.569724544;2213.59;1
0.762074352;2032.7;0
0.60015833;2154.95;0
0.542389533;2198.56;0
0.794748522;2110.21;1
0.652930047;2091.91;0
0.609582297;2011.11;0
0.700588465;2219.15;0
0.536602493;2290.17;0
0.69757822;2175.46;0
0.580151077;2175.07;0
0.587010856;2106.6;1
0.604189868;1930.61;1
0.599493083;2092.73;0
0.568535354;2001.3;0
0.809471216;2158.47;0
0.755218396;2116.53;1
0.659057078;2091.3;0
0.611749498;2182.13;0
0.588863781;2016.52;0
0.620080025;2039.58;0
0.583625563;2135.25;0
0.715894955;2317.13;0
0.602843589;2183.74;0
0.733790934;2072.64;0
0.753482027;2020.74;0
0.590021035;2020.1;1
0.548034111;2164.44;0
0.817458331;2165.03;0
0.651485327;2157.77;0
0.733408481;2161.48;1
0.628308136;2126.17;0
0.635672671;2131.24;0
0.6487487;2052.7;0
0.650970061;2185.35;0
0.599139455;1985.16;0
0.799887423;2244.89;1
0.848675857;2095.22;0
0.673644927;2128.4;0
0.729249616;2088.14;0
0.552010256;2089.1;0
0.59352168;2200.23;1
0.52838795;2070.54;1
0.588428268;2046.83;0
0.524934719;2259.62;0
0.751780468;2114.46;0
0.678055073;2140.78;0
0.714014719;2040.3;0
0.654623387;2128.27;1
0.581280346;2130.12;0
0.593442626;2225.8;0
0.786797424;2229.1;0
0.742502112;2206.27;1
0.56439782;2173.81;0
0.643130848;2188.17;1
0.545869411;2055.8;0
0.625724863;2007.53;0
0.585182535;2026.08;1
0.783344174;2091.35;0
0.724037806;2108.45;0
0.576525547;2122.79;0
0.740287502;2006.87;0
0.544446161;2296.64;0
0.598245142;2106.76;1
0.546604807;2154.93;0
0.7800037;2190.54;1
0.708239538;2297.63;1
0.625388764;2160.11;1
0.539399268;2181.13;1
0.589281939;2045.79;0
0.539670703;2134.76;0
0.530110683;2051.04;0
0.782594014;2093.18;0
0.591679947;2318.52;0
0.521867518;2297.25;0
0.591180195;2120.49;0
0.756306354;2096.69;0
0.747074062;2070.92;0
0.584425269;2029.92;1
0.736174187;2277.29;0
0.764222293;2126.28;0
0.608770682;2203.13;0
0.635806131;2086.98;0
0.597409264;1978.94;0
0.52162938;2075.33;0
0.732549476;2270.98;0
0.735492874;2173.42;0
0.789848612;2062.22;0
0.692518114;1982.04;0
0.608779005;1992.31;0
0.549036592;2290.07;0
0.728535555;2079.6;0
0.550292233;2167.04;0
0.832577714;2136.23;0
